Nets=['Deep_sig.21', 'Deep_sig.23', 'Deep_sig.24']	GPUid=4
N=20	gauge=True	increment=0.01	amount=151	epochs=1	init_p=1000.0	rate=1.0
InitFile=init_ins_se_N=20_g1.npz	init_amount=1	keep_amount=1	processors=1	tol=0.005	pert=normal	delta=0.0	num_seed=0
opt=Adam	sch=StepLR	lr=0.0005	wd=0.0	gn=1.0	momentum=0.99	betas=(0.9, 0.999)	gamma=0.5	ss=200	iter_times=800
V=0.500	U=-100.000	H=-0.70152497	P=0.00000536	D=0.00093295	CDW=-0.12819491	BDW=0.01263100	Next_init_amount=1
V=0.510	U=-100.000	H=-0.69607675	P=0.00000464	D=0.00137386	CDW=-0.12463095	BDW=0.01673165	Next_init_amount=1
V=0.520	U=-100.000	H=-0.69085342	P=0.00000341	D=0.00147379	CDW=-0.12055325	BDW=0.01690808	Next_init_amount=1
V=0.530	U=-100.000	H=-0.68515855	P=0.00000346	D=0.00154622	CDW=-0.11801560	BDW=0.01933557	Next_init_amount=1
V=0.540	U=-100.000	H=-0.67941225	P=0.00000322	D=0.00162597	CDW=-0.11603402	BDW=0.01969224	Next_init_amount=1
V=0.550	U=-100.000	H=-0.67345798	P=0.00000361	D=0.00168302	CDW=-0.11465339	BDW=0.01953220	Next_init_amount=1
V=0.560	U=-100.000	H=-0.66777509	P=0.00000315	D=0.00166791	CDW=-0.11437753	BDW=0.01954088	Next_init_amount=1
V=0.570	U=-100.000	H=-0.66219127	P=0.00000319	D=0.00169454	CDW=-0.11459841	BDW=0.01997939	Next_init_amount=1
V=0.580	U=-100.000	H=-0.65662789	P=0.00000360	D=0.00174688	CDW=-0.11379212	BDW=0.02019981	Next_init_amount=1
V=0.590	U=-100.000	H=-0.65097684	P=0.00000342	D=0.00173323	CDW=-0.11336178	BDW=0.02026832	Next_init_amount=1
V=0.600	U=-100.000	H=-0.64547944	P=0.00000336	D=0.00167647	CDW=-0.11347682	BDW=0.02059200	Next_init_amount=1
V=0.610	U=-100.000	H=-0.63997555	P=0.00000314	D=0.00164738	CDW=-0.11307366	BDW=0.02104279	Next_init_amount=1
V=0.620	U=-100.000	H=-0.63463396	P=0.00000333	D=0.00165109	CDW=-0.11233100	BDW=0.02123097	Next_init_amount=1
V=0.630	U=-100.000	H=-0.62923336	P=0.00000291	D=0.00162151	CDW=-0.11226769	BDW=0.02123833	Next_init_amount=1
V=0.640	U=-100.000	H=-0.62430602	P=0.00000315	D=0.00162683	CDW=-0.11184932	BDW=0.02132782	Next_init_amount=1
V=0.650	U=-100.000	H=-0.61903828	P=0.00000302	D=0.00158999	CDW=-0.11102767	BDW=0.02123827	Next_init_amount=1
V=0.660	U=-100.000	H=-0.61401570	P=0.00000312	D=0.00163387	CDW=-0.11061779	BDW=0.02135327	Next_init_amount=1
V=0.670	U=-100.000	H=-0.60854512	P=0.00000272	D=0.00162575	CDW=-0.10972427	BDW=0.02098945	Next_init_amount=1
V=0.680	U=-100.000	H=-0.60359603	P=0.00000302	D=0.00165677	CDW=-0.10920817	BDW=0.02055451	Next_init_amount=1
V=0.690	U=-100.000	H=-0.59870416	P=0.00000295	D=0.00169022	CDW=-0.10844883	BDW=0.02062035	Next_init_amount=1
V=0.700	U=-100.000	H=-0.59394747	P=0.00000335	D=0.00171909	CDW=-0.10785842	BDW=0.02064279	Next_init_amount=1
V=0.710	U=-100.000	H=-0.58933473	P=0.00000311	D=0.00175391	CDW=-0.10761630	BDW=0.02051327	Next_init_amount=1
V=0.720	U=-100.000	H=-0.58442247	P=0.00000284	D=0.00175663	CDW=-0.10726738	BDW=0.02026984	Next_init_amount=1
V=0.730	U=-100.000	H=-0.57977599	P=0.00000296	D=0.00180126	CDW=-0.10654983	BDW=0.02002326	Next_init_amount=1
V=0.740	U=-100.000	H=-0.57528067	P=0.00000339	D=0.00189774	CDW=-0.10562330	BDW=0.02001607	Next_init_amount=1
V=0.750	U=-100.000	H=-0.57074338	P=0.00000312	D=0.00190619	CDW=-0.10456528	BDW=0.02004892	Next_init_amount=1
V=0.760	U=-100.000	H=-0.56593043	P=0.00000321	D=0.00185432	CDW=-0.10381187	BDW=0.02009554	Next_init_amount=1
V=0.770	U=-100.000	H=-0.56194192	P=0.00000316	D=0.00174543	CDW=-0.10215903	BDW=0.02032417	Next_init_amount=1
V=0.780	U=-100.000	H=-0.55738032	P=0.00000325	D=0.00162800	CDW=-0.10095992	BDW=0.01985060	Next_init_amount=1
V=0.790	U=-100.000	H=-0.55292571	P=0.00000304	D=0.00160685	CDW=-0.10031334	BDW=0.01950791	Next_init_amount=1
V=0.800	U=-100.000	H=-0.54876268	P=0.00000325	D=0.00167799	CDW=-0.10032025	BDW=0.01902428	Next_init_amount=1
V=0.810	U=-100.000	H=-0.54453743	P=0.00000332	D=0.00172785	CDW=-0.10019662	BDW=0.01860335	Next_init_amount=1
V=0.820	U=-100.000	H=-0.54034841	P=0.00000346	D=0.00172080	CDW=-0.09888372	BDW=0.01838185	Next_init_amount=1
V=0.830	U=-100.000	H=-0.53608638	P=0.00000317	D=0.00172475	CDW=-0.09775558	BDW=0.01799551	Next_init_amount=1
V=0.840	U=-100.000	H=-0.53191197	P=0.00000329	D=0.00174579	CDW=-0.09711114	BDW=0.01755294	Next_init_amount=1
V=0.850	U=-100.000	H=-0.52793086	P=0.00000350	D=0.00173475	CDW=-0.09630886	BDW=0.01723678	Next_init_amount=1
V=0.860	U=-100.000	H=-0.52375203	P=0.00000334	D=0.00169138	CDW=-0.09584315	BDW=0.01706198	Next_init_amount=1
V=0.870	U=-100.000	H=-0.51971966	P=0.00000341	D=0.00163741	CDW=-0.09557242	BDW=0.01691967	Next_init_amount=1
V=0.880	U=-100.000	H=-0.51574898	P=0.00000329	D=0.00163204	CDW=-0.09499610	BDW=0.01683883	Next_init_amount=1
V=0.890	U=-100.000	H=-0.51192862	P=0.00000333	D=0.00163300	CDW=-0.09475041	BDW=0.01690830	Next_init_amount=1
V=0.900	U=-100.000	H=-0.50828332	P=0.00000373	D=0.00165775	CDW=-0.09460552	BDW=0.01684450	Next_init_amount=1
V=0.910	U=-100.000	H=-0.50420874	P=0.00000353	D=0.00165397	CDW=-0.09447642	BDW=0.01672508	Next_init_amount=1
