Nets=['Deep_sig.21', 'Deep_sig.22', 'Deep_sig.23', 'Deep_sig.24']	GPUid=5
N=20	gauge=True	increment=0.01	amount=201	epochs=1	init_p=1000.0	rate=1.0
InitFile=init_ins_ex_N=20_H_.npz	init_amount=1	keep_amount=1	processors=1	tol=0.005	pert=normal	delta=0.0	num_seed=0
opt=Adam	sch=StepLR	lr=0.0005	wd=0.0	gn=1.0	momentum=0.99	betas=(0.9, 0.999)	gamma=0.5	ss=200	iter_times=800
V=2.000	U=0.000	H=-0.72746629	P=0.00001432	D=0.00014557	CDW=0.51217431	BDW=0.00049052	Next_init_amount=1
V=1.990	U=0.000	H=-0.73061657	P=0.00001290	D=0.00015185	CDW=0.50806409	BDW=0.00120807	Next_init_amount=1
V=1.980	U=0.000	H=-0.73325139	P=0.00001312	D=0.00016572	CDW=0.50415790	BDW=0.00030196	Next_init_amount=1
V=1.970	U=0.000	H=-0.73505330	P=0.00001245	D=0.00016976	CDW=0.49982077	BDW=0.00048172	Next_init_amount=1
V=1.960	U=0.000	H=-0.73732877	P=0.00001325	D=0.00017520	CDW=0.49792650	BDW=0.00082669	Next_init_amount=1
V=1.950	U=0.000	H=-0.73929101	P=0.00001220	D=0.00017065	CDW=0.49515250	BDW=0.00145966	Next_init_amount=1
V=1.940	U=0.000	H=-0.74157572	P=0.00001171	D=0.00016053	CDW=0.49269250	BDW=0.00358564	Next_init_amount=1
V=1.930	U=0.000	H=-0.74361467	P=0.00001164	D=0.00016503	CDW=0.49279350	BDW=0.00465500	Next_init_amount=1
V=1.920	U=0.000	H=-0.74644631	P=0.00001185	D=0.00017313	CDW=0.49254289	BDW=0.00502509	Next_init_amount=1
V=1.910	U=0.000	H=-0.74835265	P=0.00001152	D=0.00017220	CDW=0.49181256	BDW=0.00513011	Next_init_amount=1
V=1.900	U=0.000	H=-0.74997175	P=0.00001244	D=0.00016852	CDW=0.49116454	BDW=0.00512570	Next_init_amount=1
V=1.890	U=0.000	H=-0.75204062	P=0.00001215	D=0.00016942	CDW=0.49018103	BDW=0.00484276	Next_init_amount=1
V=1.880	U=0.000	H=-0.75429642	P=0.00001202	D=0.00018180	CDW=0.48864853	BDW=0.00385967	Next_init_amount=1
V=1.870	U=0.000	H=-0.75668806	P=0.00001171	D=0.00018994	CDW=0.48769557	BDW=0.00334054	Next_init_amount=1
V=1.860	U=0.000	H=-0.75927472	P=0.00001189	D=0.00020336	CDW=0.48641124	BDW=0.00289285	Next_init_amount=1
V=1.850	U=0.000	H=-0.76135254	P=0.00001139	D=0.00019240	CDW=0.48433647	BDW=0.00188658	Next_init_amount=1
V=1.840	U=0.000	H=-0.76368952	P=0.00001076	D=0.00018180	CDW=0.48035887	BDW=0.00274649	Next_init_amount=1
V=1.830	U=0.000	H=-0.76638091	P=0.00001207	D=0.00020306	CDW=0.47680777	BDW=0.00489724	Next_init_amount=1
V=1.820	U=0.000	H=-0.76912284	P=0.00001125	D=0.00021580	CDW=0.47333452	BDW=0.00565591	Next_init_amount=1
V=1.810	U=0.000	H=-0.77132964	P=0.00001097	D=0.00020407	CDW=0.47139829	BDW=0.00654599	Next_init_amount=1
V=1.800	U=0.000	H=-0.77362144	P=0.00001157	D=0.00020583	CDW=0.46950376	BDW=0.00650451	Next_init_amount=1
V=1.790	U=0.000	H=-0.77601182	P=0.00001099	D=0.00020770	CDW=0.46826163	BDW=0.00656295	Next_init_amount=1
V=1.780	U=0.000	H=-0.77798462	P=0.00001146	D=0.00020088	CDW=0.46694145	BDW=0.00679007	Next_init_amount=1
V=1.770	U=0.000	H=-0.78062832	P=0.00001099	D=0.00020773	CDW=0.46619129	BDW=0.00675943	Next_init_amount=1
V=1.760	U=0.000	H=-0.78304660	P=0.00001089	D=0.00021214	CDW=0.46536043	BDW=0.00707632	Next_init_amount=1
V=1.750	U=0.000	H=-0.78487146	P=0.00001103	D=0.00020708	CDW=0.46448028	BDW=0.00716534	Next_init_amount=1
V=1.740	U=0.000	H=-0.78683460	P=0.00001098	D=0.00020272	CDW=0.46347624	BDW=0.00777906	Next_init_amount=1
V=1.730	U=0.000	H=-0.78896809	P=0.00001161	D=0.00020266	CDW=0.46251729	BDW=0.00806022	Next_init_amount=1
V=1.720	U=0.000	H=-0.79110426	P=0.00001140	D=0.00019655	CDW=0.46133593	BDW=0.00825661	Next_init_amount=1
V=1.710	U=0.000	H=-0.79363382	P=0.00001173	D=0.00020045	CDW=0.45992792	BDW=0.00833228	Next_init_amount=1
